latitude,longitude,location_type
41.137742,-81.547282,destination charger
44.5098,-89.4071,destination charger
35.466445,-83.920015,destination charger
44.08071,-121.305244,destination charger
33.097038,-117.283761,destination charger
41.526829,-90.58126,destination charger
47.672468,-116.784484,destination charger
43.584571,-71.216957,destination charger
36.374129,-94.207805,destination charger
42.785565,-88.405655,destination charger
41.896792,-87.625142,destination charger
42.103321,-75.893754,destination charger
24.560783,-81.806518,destination charger
33.088507,-96.839327,destination charger
39.103088,-84.512057,destination charger
27.940665,-82.323525,supercharger
43.2011589,-71.544228,destination charger
34.018311,-118.501067,destination charger
39.746368,-104.998439,destination charger
34.151844,-118.804643,destination charger
47.732864,-122.147196,destination charger
34.438204,-119.254609,destination charger
45.5209868,-122.6877048,destination charger
38.436068,-122.71986,destination charger
29.7797741,-95.5616562,destination charger
39.16093,-120.145295,destination charger
33.766815,-116.45826,destination charger
43.589856,-110.826023,destination charger
32.7675371,-96.7962415,destination charger
33.9841057,-118.4507094,destination charger
32.878773,-111.681694,supercharger
40.416707,-86.814045,supercharger
34.32753,-112.11846,supercharger
39.044394,-95.760226,supercharger
32.780654,-79.932352,destination charger
40.100634,-80.661655,destination charger
33.561023,-79.046193,destination charger
34.03032,-118.48186,destination charger
38.2567817,-85.7617756,destination charger
47.250577,-122.439947,destination charger
44.9803577,-93.2633657,destination charger
45.7115478,-121.5526164,destination charger
37.786041,-80.307948,destination charger
29.422161,-98.484552,destination charger
38.3935452,-122.6930142,destination charger
42.350938,-71.0652645,destination charger
40.6221159,-111.4909371,destination charger
40.300091,-76.6896676,destination charger
39.26742,-120.127504,destination charger
38.9599005,-119.9445238,destination charger
37.64947,-118.986681,destination charger
33.845377,-84.368627,destination charger
36.501896,-121.9374874,destination charger
32.896347,-96.962838,destination charger
33.0889411,-96.8062995,destination charger
33.793198,-84.285394,supercharger
45.83626,-109.94341,supercharger
45.70007,-111.06329,supercharger
41.781195,-70.540289,supercharger
46.914375,-114.031924,supercharger
39.702238,-86.07959,supercharger
39.240883,-120.05654,destination charger
39.641904,-106.373118,destination charger
39.188821,-106.821168,destination charger
43.0367,-88.192208,destination charger
38.504217,-122.770179,destination charger
40.71387,-74.04138,destination charger
35.229295,-82.335268,destination charger
33.946082,-118.3842664,destination charger
38.402469,-122.361104,destination charger
39.3154958,-123.799205,destination charger
32.88024,-96.768568,destination charger
29.140981,-82.193938,supercharger
39.77512,-104.794648,supercharger
41.585206,-87.721114,supercharger
38.4016,-75.56489,supercharger
34.615371,-83.70197,destination charger
44.303571,-74.330278,destination charger
33.795216,-116.501511,destination charger
42.7052817,-73.1906598,destination charger
33.786647,-84.385533,destination charger
40.804321,-74.237643,destination charger
37.602645,-122.371,destination charger
39.52788,-119.813754,destination charger
44.5192603,-85.9906554,destination charger
40.957479,-74.074191,supercharger
39.858702,-84.277027,supercharger
34.0666534,-118.4010018,destination charger
34.2512098,-111.3217987,destination charger
35.576504,-121.113529,destination charger
35.573683,-121.112315,destination charger
29.747099,-95.450734,destination charger
32.2089885,-80.6815982,destination charger
28.514873,-81.500189,supercharger
34.113584,-117.529427,supercharger
35.6123359,-115.3880456,supercharger
27.60089,-80.82286,supercharger
45.981226,-112.507161,supercharger
41.722672,-72.759717,supercharger
47.192149,-114.888901,supercharger
33.921063,-118.330074,supercharger
34.825893,-82.306952,supercharger
34.101608,-118.325804,destination charger
26.251464,-81.8208,destination charger
33.961983,-83.375885,destination charger
38.7146717,-75.0824831,destination charger
37.805388,-122.423418,destination charger
34.722752,-112.006265,destination charger
39.641587,-106.378203,destination charger
33.84892,-84.36607,destination charger
25.7654138,-80.1851384,destination charger
39.528565,-119.815271,destination charger
38.468316,-122.404902,destination charger
33.723301,-116.329538,destination charger
42.9777294,-70.9542299,destination charger
43.3571986,-70.4743118,destination charger
43.099621,-72.7036059,destination charger
25.790823,-80.129116,destination charger
33.707872,-78.861683,destination charger
36.554146,-86.237929,destination charger
