name,lati,longti,2018,2017,2016,2015,2014
TME M03 021.0 S,53.51602,-6.56167,18432,18912,17699,16441,15223
TMU M01 000.0 N,53.4178,-6.22294,124355,132966,129840,86056,107603
TMU M01 005.0 N,53.43663,-6.2103,94068,98812,96067,92276,87916
TMU M01 010.0 S,53.50218,-6.19982,55986,59186,57148,54132,51711
TMU M01 020.0 N,53.55996,-6.21491,56106,59482,57496,54228,51459
TMU M01 038.0 N,53.70334,-6.38608,2877,2778,1507,1381,1586
TMU M01 038.0 S,53.70422,-6.38613,1950,2137,1950,1696,1555
TMU M01 070.0 N,53.98545,-6.43367,23359,25785,24086,22079,22029
TMU M01 080.0 S,54.0392,-6.37605,22615,25270,23849,22170,21502
TMU M02 000.0 N,53.41283,-6.31592,36748,37718,35304,16926,31026
TMU M02 010.0 N,53.48403,-6.37795,26372,27236,26056,24714,23307
TMU M03 010.0 S,53.42933,-6.4644,36653,37929,33016,34087,32473
TMU M03 012.0 S,53.43897,-6.46878,1613,1523,1261,1175,1124
TMU M03 020.0 S,53.51162,-6.56182,1837,1861,1734,1666,1583
TMU M03 030.0 S,53.59938,-6.61579,1908,1939,1615,1363,1143
TMU M03 032.0 S,53.60249,-6.6384,15261,17885,16630,15511,13918
TMU M03 037.0 N,53.62388,-6.71424,15384,16015,14347,13097,11884
TMU M03 040.0 S,53.64191,-6.7428,1762,1739,1608,1478,1289
TMU M03 041.0 N,53.64821,-6.74992,11115,11911,10795,10095,9129
TMU M03 050.0 N,53.70779,-6.8558,600,646,635,555,540
TMU M03 050.0 S,53.70809,-6.85468,758,800,805,719,700
TMU M04 015.0 E,53.36438,-6.56185,54048,57450,56100,53839,52230
TMU M04 020.0 W,53.37465,-6.62558,41433,44793,43353,40634,39642
TMU M04 070.0 E,53.54357,-7.3196,17550,19116,18707,17950,17346
TMU M06 010.0 W,53.4318,-7.22018,14991,16827,15980,15176,14372
TMU M06 025.0 W,53.35916,-7.44539,19588,-,19843,18589,17577
TMU M06 035.0 W,53.38363,-7.58138,16214,17892,17141,16259,15159
TMU M06 055.0 E,53.41239,-7.88602,18736,20431,19748,18652,18323
TMU M07 030.0 W,53.18341,-6.7355,63389,69439,61208,45180,49604
TMU M07 035.0 E,53.16645,-6.76811,41069,45037,44361,-,39989
TMU M07 040.0 E,53.1588,-6.85208,41331,45361,43733,41576,39094
TMU M07 045.0 E,53.15473,-6.95265,36639,40135,38560,36500,29876
TMU M07 065.0 W,53.09198,-7.16771,28349,31791,30649,29220,27539
TMU M07 070.0 W,53.05261,-7.23607,28358,31821,30569,10669,24087
TMU M07 080.0 E,53.01308,-7.29836,25603,28953,27797,25067,23256
TMU M07 085.0 N,53.01996,-7.3333,22541,25872,20703,11608,11008
TMU M07 100.0 W,52.91507,-7.49401,9946,11646,11162,10634,9952
TMU M07 110.0 W,52.9231,-7.65301,11067,12782,12237,11622,10849
TMU M07 125.0 E,52.90036,-7.90311,11092,12852,12349,11774,11032
TMU M07 130.0 E,52.88343,-7.97528,12351,14026,13448,12683,11850
TMU M07 145.0 W,52.85476,-8.13971,11698,13491,12719,11918,11068
TMU M07 150.0 W,52.84832,-8.16953,12911,14578,13845,12829,11877
TMU M07 170.0 E,52.76195,-8.39795,16868,18894,18103,16995,15589
TMU M07 170.0 W,52.75285,-8.41886,18794,20786,19940,18739,17167
TMU M07 180.0 E,52.66726,-8.51609,26581,28055,26776,24983,23289
TMU M07 190.0 W,52.63952,-8.58542,39393,41014,39263,36659,34374
TMU M08 010.0 N,52.89147,-7.49197,10109,12189,11958,8060,8381
TMU M08 015.0 N,52.83988,-7.50118,10717,12329,11769,11151,10507
TMU M08 020.0 N,52.78875,-7.52357,6334,11883,11769,11105,10337
TMU M08 040.0 N,52.6611,-7.72258,11385,13230,12662,11929,11369
TMU M08 050.0 N,52.55771,-7.85157,15392,17301,16763,15961,15095
TMU M08 060.0 N,52.47978,-7.90648,13709,15533,14802,14049,13242
TMU M08 100.0 S,52.27027,-8.23993,11747,13293,12618,12107,11438
TMU M08 105.0 S,52.21668,-8.28182,16987,18773,18143,17094,15977
TMU M08 117.0 N,52.11744,-8.27226,334,360,308,272,-
TMU M08 117.0 S,52.11692,-8.27178,307,334,310,261,-
TMU M08 117.6 S,52.11238,-8.27305,1704,1716,1591,1478,-
TMU M08 118.1 S,52.10814,-8.27496,16166,17768,17022,16391,-
TMU M08 125.0 N,52.05035,-8.30794,16445,18012,17254,16591,-
TMU M08 130.0 S,51.98734,-8.36293,23497,25105,24444,23237,22037
TMU M08 130.7 N,52.00536,-8.34384,11899,12655,12309,11828,-
TMU M08 130.7 S,52.00521,-8.34312,11632,12495,12164,11731,-
TMU M08 140.0 S,51.9161,-8.38155,21876,23431,22892,21716,20702
TMU M09 020.0 S,53.02617,-6.81739,20917,22719,21806,20583,19195
